State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,sex_ratio,literacy_rate
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,909917,846351,1093626,2975,15309,340788,159810,500598,234873,482679,165406,172947,61164,58389,14501,1189959,493427,93.01408809814522,62.269881362070024
Gujarat,The Dangs,20.801633877551023,73.68835183673471,489,228291,113821,114470,140968,137,1393,52102,7516,59618,43639,59954,17736,14872,7560,3490,2215,149466,91160,100.57019354952075,61.749258621671466
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,2153736,2011890,2893080,53606,117818,547454,692971,1240425,396624,865726,457662,504732,268451,314960,60177,2868332,910219,93.41395602803686,69.45126614823319
Gujarat,Valsad,20.44238231644259,72.91485847983449,491,1705678,887222,818456,1170657,11020,31285,262410,235981,498391,165459,303197,171712,212318,123281,90912,26987,1093866,405928,92.24929048197633,68.63294244282918
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,598703,529647,818025,12899,32767,175365,139891,315256,89558,170110,161844,163544,97980,91472,18727,793235,222031,88.46573342709156,72.49745203172775
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,866672,767773,1069871,5292,25236,357047,99235,456282,186145,223049,198307,218631,148995,104875,13786,1093788,459364,88.5886471467868,65.45775477302693
Haryana,Faridabad,28.148731097560983,77.3271853658537,88,1809733,966110,843623,1272739,43437,82673,87700,382981,470681,137902,220384,198551,282666,178846,259933,27864,1306146,346567,87.32163004212771,70.32744609287668
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,495360,446651,557578,3210,13142,203020,55360,258380,103541,136663,99948,93526,61476,37741,9504,542399,344534,90.16694928940568,59.19017930788494
Haryana,Gurgaon,28.043894789579163,77.01935130260524,86,1514432,816690,697742,1111116,67087,102343,141703,381988,523691,126920,177453,175370,219200,150120,233402,41366,1123831,263720,85.43535490822711,73.3684972319655
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,931562,812369,1114311,10132,33400,302013,154113,456126,197303,230074,194595,202792,144626,105346,19031,1093767,505251,87.205038419343,63.89650737328484
Haryana,Jhajjar,28.59651868131869,76.61137142857146,83,958405,514667,443738,676091,5034,19241,211816,78328,290144,90737,109829,115794,145258,97457,58826,9387,627288,201028,86.21846747508583,70.5433506711672
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,713006,621146,832758,5263,23750,278335,89665,368000,136892,185626,151682,154773,107994,64599,14277,815843,419624,87.1165179535656,62.41852502563427
Haryana,Kaithal,29.960685390946487,76.37698930041155,73,1074304,571003,503301,646529,3724,15301,231091,75696,306787,119345,158239,124682,117753,82297,51043,9111,662470,369869,88.14331973737441,60.18119638389133
